channel_id,counter_id,start_datetime,end_datetime,count
353226361,CPTTEST2031,2021-09-15T00:00:00+02,2021-09-15T01:00:00+02,0
353226370,CPTTEST2031,2021-09-15T00:00:00+02,2021-09-15T01:00:00+02,0
353226396,CPTTEST2031,2021-09-15T00:00:00+02,2021-09-15T01:00:00+02,0
353226405,CPTTEST2031,2021-09-15T00:00:00+02,2021-09-15T01:00:00+02,0
353267701,CPTTEST2030,2021-09-15T00:00:00+02,2021-09-15T01:00:00+02,10
353226361,CPTTEST2031,2021-09-15T01:00:00+02,2021-09-15T02:00:00+02,0
353226370,CPTTEST2031,2021-09-15T01:00:00+02,2021-09-15T02:00:00+02,0
353226396,CPTTEST2031,2021-09-15T01:00:00+02,2021-09-15T02:00:00+02,0
353226405,CPTTEST2031,2021-09-15T01:00:00+02,2021-09-15T02:00:00+02,0
353267701,CPTTEST2030,2021-09-15T01:00:00+02,2021-09-15T02:00:00+02,14
353226361,CPTTEST2031,2021-09-15T02:00:00+02,2021-09-15T03:00:00+02,0
353226370,CPTTEST2031,2021-09-15T02:00:00+02,2021-09-15T03:00:00+02,0
353226396,CPTTEST2031,2021-09-15T02:00:00+02,2021-09-15T03:00:00+02,0
353226405,CPTTEST2031,2021-09-15T02:00:00+02,2021-09-15T03:00:00+02,0
353267701,CPTTEST2030,2021-09-15T02:00:00+02,2021-09-15T03:00:00+02,2
353226361,CPTTEST2031,2021-09-15T03:00:00+02,2021-09-15T04:00:00+02,0
353226370,CPTTEST2031,2021-09-15T03:00:00+02,2021-09-15T04:00:00+02,0
353226396,CPTTEST2031,2021-09-15T03:00:00+02,2021-09-15T04:00:00+02,0
353226405,CPTTEST2031,2021-09-15T03:00:00+02,2021-09-15T04:00:00+02,0
353267701,CPTTEST2030,2021-09-15T03:00:00+02,2021-09-15T04:00:00+02,2
353226361,CPTTEST2031,2021-09-15T04:00:00+02,2021-09-15T05:00:00+02,0
353226370,CPTTEST2031,2021-09-15T04:00:00+02,2021-09-15T05:00:00+02,0
353226396,CPTTEST2031,2021-09-15T04:00:00+02,2021-09-15T05:00:00+02,0
353226405,CPTTEST2031,2021-09-15T04:00:00+02,2021-09-15T05:00:00+02,0
353267701,CPTTEST2030,2021-09-15T04:00:00+02,2021-09-15T05:00:00+02,4
353226361,CPTTEST2031,2021-09-15T05:00:00+02,2021-09-15T06:00:00+02,0
353226370,CPTTEST2031,2021-09-15T05:00:00+02,2021-09-15T06:00:00+02,0
353226396,CPTTEST2031,2021-09-15T05:00:00+02,2021-09-15T06:00:00+02,0
353226405,CPTTEST2031,2021-09-15T05:00:00+02,2021-09-15T06:00:00+02,0
353267701,CPTTEST2030,2021-09-15T05:00:00+02,2021-09-15T06:00:00+02,18
353226361,CPTTEST2031,2021-09-15T06:00:00+02,2021-09-15T07:00:00+02,0
353226370,CPTTEST2031,2021-09-15T06:00:00+02,2021-09-15T07:00:00+02,0
353226396,CPTTEST2031,2021-09-15T06:00:00+02,2021-09-15T07:00:00+02,0
353226405,CPTTEST2031,2021-09-15T06:00:00+02,2021-09-15T07:00:00+02,0
353267701,CPTTEST2030,2021-09-15T06:00:00+02,2021-09-15T07:00:00+02,15
353226361,CPTTEST2031,2021-09-15T07:00:00+02,2021-09-15T08:00:00+02,0
353226370,CPTTEST2031,2021-09-15T07:00:00+02,2021-09-15T08:00:00+02,1
353226396,CPTTEST2031,2021-09-15T07:00:00+02,2021-09-15T08:00:00+02,0
353226405,CPTTEST2031,2021-09-15T07:00:00+02,2021-09-15T08:00:00+02,1
353267701,CPTTEST2030,2021-09-15T07:00:00+02,2021-09-15T08:00:00+02,133
353226361,CPTTEST2031,2021-09-15T08:00:00+02,2021-09-15T09:00:00+02,0
353226370,CPTTEST2031,2021-09-15T08:00:00+02,2021-09-15T09:00:00+02,1
353226396,CPTTEST2031,2021-09-15T08:00:00+02,2021-09-15T09:00:00+02,0
353226405,CPTTEST2031,2021-09-15T08:00:00+02,2021-09-15T09:00:00+02,2
353267701,CPTTEST2030,2021-09-15T08:00:00+02,2021-09-15T09:00:00+02,154
353226361,CPTTEST2031,2021-09-15T09:00:00+02,2021-09-15T10:00:00+02,1
353226370,CPTTEST2031,2021-09-15T09:00:00+02,2021-09-15T10:00:00+02,22
353226396,CPTTEST2031,2021-09-15T09:00:00+02,2021-09-15T10:00:00+02,0
353226405,CPTTEST2031,2021-09-15T09:00:00+02,2021-09-15T10:00:00+02,15
353267701,CPTTEST2030,2021-09-15T09:00:00+02,2021-09-15T10:00:00+02,197
353226361,CPTTEST2031,2021-09-15T10:00:00+02,2021-09-15T11:00:00+02,0
353226370,CPTTEST2031,2021-09-15T10:00:00+02,2021-09-15T11:00:00+02,55
353226396,CPTTEST2031,2021-09-15T10:00:00+02,2021-09-15T11:00:00+02,0
353226405,CPTTEST2031,2021-09-15T10:00:00+02,2021-09-15T11:00:00+02,21
353267701,CPTTEST2030,2021-09-15T10:00:00+02,2021-09-15T11:00:00+02,309
353226361,CPTTEST2031,2021-09-15T11:00:00+02,2021-09-15T12:00:00+02,0
353226370,CPTTEST2031,2021-09-15T11:00:00+02,2021-09-15T12:00:00+02,72
353226396,CPTTEST2031,2021-09-15T11:00:00+02,2021-09-15T12:00:00+02,1
353226405,CPTTEST2031,2021-09-15T11:00:00+02,2021-09-15T12:00:00+02,49
353267701,CPTTEST2030,2021-09-15T11:00:00+02,2021-09-15T12:00:00+02,367
353226361,CPTTEST2031,2021-09-15T12:00:00+02,2021-09-15T13:00:00+02,0
353226370,CPTTEST2031,2021-09-15T12:00:00+02,2021-09-15T13:00:00+02,32
353226396,CPTTEST2031,2021-09-15T12:00:00+02,2021-09-15T13:00:00+02,0
353226405,CPTTEST2031,2021-09-15T12:00:00+02,2021-09-15T13:00:00+02,30
353267701,CPTTEST2030,2021-09-15T12:00:00+02,2021-09-15T13:00:00+02,416
353226361,CPTTEST2031,2021-09-15T13:00:00+02,2021-09-15T14:00:00+02,6
353226370,CPTTEST2031,2021-09-15T13:00:00+02,2021-09-15T14:00:00+02,16
353226396,CPTTEST2031,2021-09-15T13:00:00+02,2021-09-15T14:00:00+02,6
353226405,CPTTEST2031,2021-09-15T13:00:00+02,2021-09-15T14:00:00+02,14
353267701,CPTTEST2030,2021-09-15T13:00:00+02,2021-09-15T14:00:00+02,289
353226361,CPTTEST2031,2021-09-15T14:00:00+02,2021-09-15T15:00:00+02,0
353226370,CPTTEST2031,2021-09-15T14:00:00+02,2021-09-15T15:00:00+02,39
353226396,CPTTEST2031,2021-09-15T14:00:00+02,2021-09-15T15:00:00+02,1
353226405,CPTTEST2031,2021-09-15T14:00:00+02,2021-09-15T15:00:00+02,34
353267701,CPTTEST2030,2021-09-15T14:00:00+02,2021-09-15T15:00:00+02,405
353226361,CPTTEST2031,2021-09-15T15:00:00+02,2021-09-15T16:00:00+02,1
353226370,CPTTEST2031,2021-09-15T15:00:00+02,2021-09-15T16:00:00+02,42
353226396,CPTTEST2031,2021-09-15T15:00:00+02,2021-09-15T16:00:00+02,0
353226405,CPTTEST2031,2021-09-15T15:00:00+02,2021-09-15T16:00:00+02,34
353267701,CPTTEST2030,2021-09-15T15:00:00+02,2021-09-15T16:00:00+02,473
353226361,CPTTEST2031,2021-09-15T16:00:00+02,2021-09-15T17:00:00+02,0
353226370,CPTTEST2031,2021-09-15T16:00:00+02,2021-09-15T17:00:00+02,32
353226396,CPTTEST2031,2021-09-15T16:00:00+02,2021-09-15T17:00:00+02,0
353226405,CPTTEST2031,2021-09-15T16:00:00+02,2021-09-15T17:00:00+02,39
353267701,CPTTEST2030,2021-09-15T16:00:00+02,2021-09-15T17:00:00+02,422
353226361,CPTTEST2031,2021-09-15T17:00:00+02,2021-09-15T18:00:00+02,0
353226370,CPTTEST2031,2021-09-15T17:00:00+02,2021-09-15T18:00:00+02,38
353226396,CPTTEST2031,2021-09-15T17:00:00+02,2021-09-15T18:00:00+02,0
353226405,CPTTEST2031,2021-09-15T17:00:00+02,2021-09-15T18:00:00+02,37
353267701,CPTTEST2030,2021-09-15T17:00:00+02,2021-09-15T18:00:00+02,398
353226361,CPTTEST2031,2021-09-15T18:00:00+02,2021-09-15T19:00:00+02,1
353226370,CPTTEST2031,2021-09-15T18:00:00+02,2021-09-15T19:00:00+02,11
353226396,CPTTEST2031,2021-09-15T18:00:00+02,2021-09-15T19:00:00+02,0
353226405,CPTTEST2031,2021-09-15T18:00:00+02,2021-09-15T19:00:00+02,7
353267701,CPTTEST2030,2021-09-15T18:00:00+02,2021-09-15T19:00:00+02,307
353226361,CPTTEST2031,2021-09-15T19:00:00+02,2021-09-15T20:00:00+02,0
353226370,CPTTEST2031,2021-09-15T19:00:00+02,2021-09-15T20:00:00+02,6
353226396,CPTTEST2031,2021-09-15T19:00:00+02,2021-09-15T20:00:00+02,0
353226405,CPTTEST2031,2021-09-15T19:00:00+02,2021-09-15T20:00:00+02,7
353267701,CPTTEST2030,2021-09-15T19:00:00+02,2021-09-15T20:00:00+02,193
353226361,CPTTEST2031,2021-09-15T20:00:00+02,2021-09-15T21:00:00+02,0
353226370,CPTTEST2031,2021-09-15T20:00:00+02,2021-09-15T21:00:00+02,1
353226396,CPTTEST2031,2021-09-15T20:00:00+02,2021-09-15T21:00:00+02,0
353226405,CPTTEST2031,2021-09-15T20:00:00+02,2021-09-15T21:00:00+02,1
353267701,CPTTEST2030,2021-09-15T20:00:00+02,2021-09-15T21:00:00+02,91
353226361,CPTTEST2031,2021-09-15T21:00:00+02,2021-09-15T22:00:00+02,0
353226370,CPTTEST2031,2021-09-15T21:00:00+02,2021-09-15T22:00:00+02,2
353226396,CPTTEST2031,2021-09-15T21:00:00+02,2021-09-15T22:00:00+02,0
353226405,CPTTEST2031,2021-09-15T21:00:00+02,2021-09-15T22:00:00+02,2
353267701,CPTTEST2030,2021-09-15T21:00:00+02,2021-09-15T22:00:00+02,19
353226361,CPTTEST2031,2021-09-15T22:00:00+02,2021-09-15T23:00:00+02,0
353226370,CPTTEST2031,2021-09-15T22:00:00+02,2021-09-15T23:00:00+02,0
353226396,CPTTEST2031,2021-09-15T22:00:00+02,2021-09-15T23:00:00+02,0
353226405,CPTTEST2031,2021-09-15T22:00:00+02,2021-09-15T23:00:00+02,0
353267701,CPTTEST2030,2021-09-15T22:00:00+02,2021-09-15T23:00:00+02,17
353226361,CPTTEST2031,2021-09-15T23:00:00+02,2021-09-16T00:00:00+02,0
353226370,CPTTEST2031,2021-09-15T23:00:00+02,2021-09-16T00:00:00+02,0
353226396,CPTTEST2031,2021-09-15T23:00:00+02,2021-09-16T00:00:00+02,0
353226405,CPTTEST2031,2021-09-15T23:00:00+02,2021-09-16T00:00:00+02,0
353267701,CPTTEST2030,2021-09-15T23:00:00+02,2021-09-16T00:00:00+02,11
